product name,product price,product link
MSI Gaming GeForce RTX 3080 LHR 10GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3080 Ventus 3X Plus 10G OC LHR),1368,https://www.newegg.ca/msi-rtx-3080-ventus-3x-plus-10g-oc-lhr/p/1FT-0009-00704?Description=3080&cm_re=3080-_-1FT-0009-00704-_-Product
,,
MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X 10G OC,1778,https://www.newegg.ca/msi-geforce-rtx-3080-rtx-3080-ventus-3x-10g-oc/p/N82E16814137598?Description=3080&cm_re=3080-_-14-137-598-_-Product
,,
MSI Gaming GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 GAMING Z TRIO 10G LHR,1548,https://www.newegg.ca/p/1FT-0009-006M6?Description=3080&cm_re=3080-_-1FT-0009-006M6-_-Product
,,
GIGABYTE AORUS GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUSX WB-12GD,1899,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorusx-wb-12gd/p/N82E16814932504?Description=3080&cm_re=3080-_-14-932-504-_-Product
,,
ASUS ROG Strix GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card ROG-STRIX-RTX3080-O10G-WHITE-V2 LHR,1729,https://www.newegg.ca/p/1FT-000Y-00654?Description=3080&cm_re=3080-_-1FT-000Y-00654-_-Product
,,
GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TAORUSX WB-12GD,2049,https://www.newegg.ca/gigabyte-geforce-rtx-3080-ti-gv-n308taorusx-wb-12gd/p/N82E16814932463?Description=3080&cm_re=3080-_-14-932-463-_-Product
,,
MSI Suprim GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 SUPRIM X 10G,1876,https://www.newegg.ca/msi-geforce-rtx-3080-rtx3080-suprim-x-10g/p/N82E16814137609?Description=3080&cm_re=3080-_-14-137-609-_-Product
,,
ASUS ROG STRIX GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 x16 ATX Video Card ROG-STRIX-RTX3080-O10G-WHITE-V2 (LHR),1624,https://www.newegg.ca/p/1FT-000Y-00690?Description=3080&cm_re=3080-_-1FT-000Y-00690-_-Product
,,
